Id_member,Tanggal,Deskripsi_barang,Kategori
1808,2015-07-21,apel,Buah-buahan
2552,2015-05-01,susu sapi,Makanan dan Minuman
2300,2015-09-19,nanas,Buah-buahan
1187,2015-12-12,bayam,Sayuran
3037,2015-01-02,susu sapi,Makanan dan Minuman
4941,2015-02-14,roti bolu,Makanan dan Minuman
4501,2015-08-05,bayam,Sayuran
3803,2015-12-23,kelapa,Buah-buahan
2762,2015-03-20,susu sapi,Makanan dan Minuman
4119,2015-12-02,apel,Buah-buahan
1340,2015-02-24,buah jeruk,Buah-buahan
2193,2015-04-14,daging sapi,Daging-dagingan
1997,2015-07-21,sosis,Makanan dan Minuman
4546,2015-03-09,daging ayam,Daging-dagingan
4736,2015-07-21,mentega,Bahan dan Bumbu Makanan
1959,2015-03-30,udang,Ikan Segar
1974,2015-03-05,kentang,Sayuran
2421,2015-02-09,cokelat,Buah-buahan
1513,2015-03-08,daging bebek,Daging-dagingan
1905,2015-07-07,bayam,Sayuran
2810,2015-08-09,ikan sarden,Ikan Segar
2867,2015-12-11,susu sapi,Makanan dan Minuman
3962,2015-09-18,apel,Buah-buahan
1088,2015-11-30,apel,Buah-buahan
4976,2015-07-17,air mineral,Makanan dan Minuman
4056,2015-12-06,yogurt,Makanan dan Minuman
3611,2015-02-13,sosis,Makanan dan Minuman
1420,2015-01-14,bayam,Sayuran
4286,2015-08-03,roti cokelat,Makanan dan Minuman
4918,2015-01-27,yogurt,Makanan dan Minuman
4783,2015-10-22,kerang,Ikan Segar
3709,2015-10-26,pare,Sayuran
4289,2015-08-10,ikan lele,Ikan Segar
1559,2015-03-10,daging sapi,Daging-dagingan
2900,2015-11-04,daun singkong,Sayuran
1905,2015-02-21,udang,Ikan Segar
3527,2015-09-29,wortel,Sayuran
1495,2015-09-01,pare,Sayuran
3558,2015-03-04,buah jeruk,Buah-buahan
3128,2015-04-20,sosis,Makanan dan Minuman
1863,2015-04-08,apel,Buah-buahan
3841,2015-07-19,beri,Buah-buahan
3903,2015-06-10,wortel,Sayuran
2658,2015-10-16,ikan sarden,Ikan Segar
4272,2015-06-06,kopi,Makanan dan Minuman
1120,2015-09-26,daun singkong,Sayuran
2676,2015-08-15,roti bolu,Makanan dan Minuman
1697,2015-05-21,seledri,Sayuran
2507,2015-08-25,pare,Sayuran
4620,2015-11-03,sosis,Makanan dan Minuman
3365,2015-01-02,wortel,Sayuran
2978,2015-05-06,daging sapi,Daging-dagingan
2910,2015-07-28,jahe,Bahan dan Bumbu Makanan
1061,2015-05-09,susu sapi,Makanan dan Minuman
3276,2015-03-04,susu sapi,Makanan dan Minuman
1326,2015-06-19,kentang,Sayuran
3023,2015-07-28,roti bolu,Makanan dan Minuman
2185,2015-11-10,daging sapi,Daging-dagingan
3552,2015-06-16,roti bolu,Makanan dan Minuman
1967,2015-01-20,bayam,Sayuran
4708,2015-03-20,sosis,Makanan dan Minuman
2874,2015-02-15,sosis,Makanan dan Minuman
4177,2015-04-13,sosis,Makanan dan Minuman
1663,2015-07-02,roti bolu,Makanan dan Minuman
2632,2015-02-03,susu sapi,Makanan dan Minuman
1377,2015-03-14,keju,Makanan dan Minuman
4162,2015-12-22,anggur,Buah-buahan
2270,2015-01-07,sosis,Makanan dan Minuman
4829,2015-03-11,apel,Buah-buahan
3811,2015-04-14,anggur,Buah-buahan
4766,2015-09-29,susu sapi,Makanan dan Minuman
2436,2015-12-04,sosis,Makanan dan Minuman
3860,2015-05-05,susu sapi,Makanan dan Minuman
4875,2015-12-05,frozen food,Makanan dan Minuman
